alcohol,volatile acidity,sulphates,citric acid,density,chlorides,quality
9.9,0.77,0.68,0,0.9976,0.066,5
11.8,0.56,0.73,0.33,0.9972,0.089,7
12.3,0.84,0.56,0.03,0.9952,0.059,7
10.9,0.96,0.44,0.2,0.9955,0.047,5
11,0.24,0.9,0.47,0.9978,0.066,7
10.9,0.96,0.44,0.2,0.9955,0.047,5
12.3,0.84,0.56,0.03,0.9952,0.059,7
9.3,0.52,0.6,0.33,0.9978,0.07,5
11,0.24,0.9,0.47,0.9978,0.066,7
9.2,0.55,0.56,0.35,0.9974,0.074,5
9.5,0.39,0.49,0.63,1.0004,0.091,5
9.5,0.39,0.49,0.63,1.0004,0.091,5
9.3,0.62,0.6,0.18,0.9951,0.062,5
11.2,0.685,0.68,0.76,1.0032,0.1,7
11.6,0.44,0.63,0.49,0.9963,0.077,7
12.5,0.57,0.84,0.01,0.9934,0.054,7
10.5,0.38,0.73,0.6,0.9996,0.081,5
11.2,0.48,0.72,0.29,0.9968,0.127,5
11.2,0.33,0.74,0.63,0.9998,0.084,7
11.1,0.23,0.63,0.4,0.9952,0.063,5
10.3,0.59,0.58,0.39,0.9986,0.095,5
9.6,0.63,0.58,0.21,0.9988,0.097,5
11.2,0.33,0.74,0.63,0.9998,0.084,7
9.3,0.615,0.61,0.22,0.9982,0.087,5
11.8,0.26,0.61,0.68,0.997,0.085,5
9,0.66,0.53,0.7,0.9972,0.098,5
9.7,0.29,0.91,0.4,1.0006,0.098,5
9.8,0.82,0.58,0.02,0.9952,0.07,5
10.6,0.32,0.61,0.65,0.9996,0.093,5
10.6,0.35,0.79,0.55,0.9971,0.062,5
10.2,0.68,0.6,0.24,0.9988,0.087,5
9.7,0.27,0.7,0.41,0.998,0.091,5
10.2,0.68,0.6,0.24,0.9988,0.087,5
9.2,0.28,0.66,0.39,1.0026,0.069,5
9.4,0.36,1.05,0.59,0.9986,0.152,5
9.4,0.36,1.06,0.6,0.9986,0.152,5
10,0.67,0.47,0.39,0.9976,0.054,5
10,0.67,0.47,0.39,0.9976,0.054,5
10.8,0.32,0.92,0.55,1.0002,0.081,7
13.3,0.41,0.79,0.5,0.9952,0.055,7
13.4,0.4,0.9,0.51,0.995,0.052,7
11.1,0.34,0.79,0.32,0.9966,0.09,5
12,0.44,0.85,0.73,0.999,0.074,7
12,0.44,0.85,0.73,0.999,0.074,7
10.9,0.26,1.04,0.47,0.9976,0.078,7
10.8,0.24,1.05,0.42,0.9976,0.077,7
12.5,0.49,0.78,0.63,0.9968,0.072,7
10.8,0.24,1.02,0.46,0.9976,0.075,7
11.4,0.29,0.68,0.75,0.9986,0.084,7
9.5,0.42,0.61,0.49,0.9978,0.073,5
11.8,0.51,0.66,0.64,0.9973,0.107,7
11.8,0.51,0.66,0.64,0.9973,0.107,7
9.3,0.655,1.14,0.49,1.001,0.122,5
11,0.365,0.78,0.49,0.9966,0.088,5
9.1,0.41,0.64,0.49,0.998,0.088,5
9.8,0.39,0.99,0.49,0.9979,0.099,5
9.4,0.4,0.55,0.49,0.9978,0.085,5
9.5,0.43,0.64,0.49,0.9976,0.086,5
9.9,0.64,0.67,0.24,0.9998,0.105,5
11,0.365,0.78,0.49,0.9966,0.088,5
9.4,0.63,0.57,0.24,0.9974,0.077,5
10.3,0.38,0.61,0.49,1.0004,0.098,5
10.3,0.38,0.61,0.49,1.0004,0.098,5
9.4,0.63,0.57,0.24,0.9974,0.077,5
12,0.35,0.66,0.49,1.0014,0.066,7
11.2,0.5,0.62,0.74,0.9996,0.1,5
9.6,0.59,0.67,0.24,0.9988,0.101,5
9.9,0.715,0.59,0.24,0.9966,0.07,5
9.1,0.47,0.59,0.49,0.9982,0.094,5
11.5,1.04,0.62,0.24,0.9934,0.05,5
11.1,0.645,0.74,0.49,1.00315,0.095,5
11.1,0.645,0.74,0.49,1.00315,0.095,5
11.1,0.645,0.74,0.49,1.00315,0.095,5
11.4,0.6,0.57,0.49,0.9994,0.075,5
9.2,0.44,0.58,0.49,0.9978,0.078,5
9.2,0.54,0.61,0.49,0.9982,0.094,5
11.4,0.6,0.57,0.49,0.9994,0.075,5
10.4,0.24,0.61,0.49,0.9978,0.075,5
9.5,0.44,0.6,0.49,0.9982,0.083,5
9.8,0.47,0.6,0.49,0.9982,0.085,5
9.6,0.5,0.44,0.49,1.0002,0.089,5
9.6,0.5,0.44,0.49,1.0002,0.089,5
9.2,0.49,0.43,0.49,1,0.083,5
9.9,0.28,0.66,0.49,0.9976,0.074,7
10.7,0.33,0.76,0.49,1.0002,0.093,7
10.6,0.31,1.02,0.49,0.9986,0.094,7
9.3,0.73,0.59,0.24,0.9967,0.108,5
10.5,0.29,0.74,0.49,0.9976,0.059,7
9.7,0.45,0.57,0.49,0.9987,0.084,5
9.7,0.45,0.57,0.49,0.9987,0.084,5
9,0.49,0.58,0.58,1.0004,0.094,5
9.5,0.72,0.53,0.17,0.9978,0.096,5
9.3,0.595,0.57,0.41,0.9998,0.086,5
9.3,0.835,0.52,0,0.9975,0.081,5
12.2,0.41,0.79,0.48,0.9973,0.072,7
9.2,0.24,0.54,0.54,0.9983,0.083,5
9.4,0.38,0.54,0.55,1.0006,0.081,5
9.8,0.39,0.74,0.38,0.9962,0.058,5
9.7,0.6,0.57,0.5,0.9997,0.079,5
9.7,0.6,0.57,0.5,0.9997,0.079,5
10.2,0.46,0.7,0.5,1.0006,0.122,5
9.3,0.37,0.8,0.41,0.9988,0.088,5
9.4,0.54,0.61,0.24,0.9976,0.076,5
9.4,0.56,0.62,0.23,0.9976,0.078,5
9.5,0.58,0.55,0.22,0.9974,0.08,5
10.2,0.69,0.72,0,0.9997,0.124,5
10.2,0.69,0.72,0,0.9997,0.124,5
9.1,0.6,0.49,0.29,0.9988,0.098,5
9.1,0.6,0.49,0.29,0.9988,0.098,5
9.3,0.685,0.61,0.23,0.9964,0.111,5
9.5,0.28,0.63,0.54,0.9988,0.105,5
9.5,0.35,0.58,0.21,0.9964,0.073,5
9.7,0.84,0.55,0,0.9954,0.065,5
9.4,0.88,0.53,0.28,0.9979,0.086,5
9.4,0.885,0.53,0.27,0.9978,0.084,5
10.2,0.915,0.65,0.12,0.9964,0.143,7
9.4,0.54,0.62,0.45,0.9991,0.071,5
9.5,0.59,0.63,0.44,0.9992,0.071,5
9.4,0.54,0.62,0.45,0.9991,0.071,5
9.5,0.59,0.63,0.44,0.9992,0.071,5
9.4,0.54,0.62,0.45,0.9991,0.071,5
10.1,0.64,0.69,0.1,0.9984,0.115,7
10.1,0.67,0.63,0.05,0.9972,0.107,5
11.2,0.48,0.67,0.3,0.9964,0.066,7
9.6,0.43,0.5,0.39,0.9986,0.106,5
11.2,0.88,0.67,0.25,1.001,0.104,5
14.9,0.36,0.84,0.65,0.9976,0.096,5
9.5,0.47,0.46,0.47,0.9979,0.074,5
9.4,0.55,0.61,0.17,1.0004,0.087,5
9.6,0.43,0.5,0.39,0.9986,0.106,5
10.5,0.5,0.68,0.59,0.998,0.073,7
9,0.42,0.64,0.31,0.9978,0.08,5
10.2,0.4,0.66,0.52,1,0.092,5
9.7,0.59,0.56,0.14,0.9981,0.084,5
11,0.73,0.57,0.43,0.9966,0.059,5
10,0.4,0.58,0.24,0.9959,0.083,5
9.5,0.73,0.52,0.21,0.9968,0.074,5
9.5,1.24,0.53,0.34,0.998,0.079,5
9.5,0.73,0.52,0.21,0.9968,0.074,5
10.2,0.41,0.65,0.39,0.9984,0.064,5
9.9,0.8,0.48,0.11,0.9979,0.084,5
10,0.78,0.53,0.1,0.9983,0.081,5
9.6,0.26,0.54,0.45,0.9972,0.06,5
9,0.43,0.49,0.58,1.0004,0.07,5
9.8,0.46,0.54,0.31,0.998,0.078,5
11.3,0.78,0.56,0.23,0.997,0.059,5
9.4,0.98,0.48,0.32,0.998,0.078,5
11.3,0.78,0.56,0.23,0.997,0.059,5
9.1,0.65,0.6,0.18,0.997,0.07,5
9.7,0.64,0.59,0.23,0.9998,0.095,5
9.4,0.66,0.47,0.04,0.9962,0.039,5
9.4,0.38,1.05,0.48,0.9976,0.157,5
9.8,0.92,0.54,0.24,0.9998,0.087,5
9,0.49,1.17,0.51,0.9979,0.422,5
9.4,0.48,0.62,0.32,0.9984,0.084,5
9.4,0.47,0.61,0.31,0.9984,0.084,5
9.7,0.615,0.53,0.28,1.0001,0.087,5
9.9,1.035,0.49,0.15,0.999,0.073,5
10,0.78,0.47,0.08,0.9956,0.093,5
10.5,0.49,0.51,0.19,0.9966,0.077,5
10.1,1.025,0.57,0.43,0.9985,0.08,5
9.5,0.565,0.61,0.34,0.9998,0.093,5
9.4,0.69,0.45,0,0.9992,0.084,5
9.4,0.43,0.46,0.36,0.9976,0.075,5
9.8,0.74,0.51,0.28,0.998,0.078,5
9.4,0.43,0.46,0.36,0.9976,0.075,5
10,0.46,0.57,0.11,0.9968,0.079,5
9.6,0.56,0.44,0.04,0.9976,0.082,5
9.5,0.66,0.54,0,0.9976,0.086,5
9.6,0.56,0.44,0.04,0.9976,0.082,5
9.2,0.48,0.53,0.24,0.9982,0.094,5
10,0.42,0.59,0.08,0.9968,0.084,5
9.5,0.31,1.62,0.3,0.9965,0.053,5
10.4,0.66,0.55,0.17,0.9976,0.077,5
9.5,0.57,0.68,0.02,0.997,0.067,5
9.5,0.57,0.68,0.02,0.997,0.067,5
9.6,0.55,0.67,0.66,0.9982,0.387,5
11.5,0.875,0.52,0.13,0.9994,0.088,5
9.6,0.835,0.47,0.03,0.9966,0.092,5
9.5,0.45,0.6,0.34,0.998,0.082,5
9.3,0.56,0.62,0.2,0.9987,0.075,5
9.5,0.965,0.5,0.1,0.9963,0.112,5
9.5,0.965,0.5,0.1,0.9963,0.112,5
9.2,0.46,0.56,0.23,0.9983,0.092,5
9.3,0.69,0.6,0,0.999,0.088,5
9.5,0.53,0.57,0.24,0.99788,0.078,5
9.2,0.615,0.65,0,0.9972,0.065,5
10,0.41,0.53,0.58,1.00024,0.096,5
9.5,0.39,0.51,0.54,1.0001,0.095,5
9.4,0.33,0.48,0.4,0.99782,0.083,5
9.5,0.65,0.55,0.1,0.99803,0.089,5
9.5,0.65,0.55,0.1,0.99803,0.089,5
9.4,0.54,0.61,0.13,0.99785,0.097,5
9.5,0.65,0.55,0.1,0.99803,0.089,5
9.8,0.87,0.5,0,0.99656,0.084,5
9.8,0.87,0.5,0,0.99656,0.084,5
9.2,0.42,0.52,0.21,0.99823,0.092,5
9.7,0.58,0.57,0.25,0.99779,0.075,5
9.6,0.655,0.42,0.26,0.99738,0.096,5
9.6,0.655,0.42,0.26,0.99738,0.096,5
9.4,0.59,0.54,0.18,0.99738,0.089,5
9.5,0.6,0.62,0.32,0.99938,0.103,5
9.6,0.72,0.54,0.01,0.99668,0.076,5
9.4,0.685,0.55,0.26,0.9978,0.082,5
9.4,0.57,0.55,0.27,0.99782,0.082,5
10,1,0.46,0,0.99586,0.102,5
10.5,0.43,0.61,0.3,0.99788,0.079,5
9.8,0.52,0.6,0.03,0.99745,0.076,5
9.8,0.46,0.65,0.14,0.99732,0.114,5
10,0.82,0.53,0.05,0.99814,0.081,5
9.8,0.46,0.65,0.14,0.99732,0.114,5
9.8,0.59,0.59,0.01,0.99746,0.077,5
9.5,0.35,0.5,0.41,0.9982,0.083,5
9.5,0.35,0.5,0.41,0.9982,0.083,5
9.3,0.63,0.52,0.17,0.998,0.099,5
9.6,0.64,0.54,0.17,0.99818,0.084,5
10.8,0.6,0.56,0,0.99639,0.055,5
10.2,0.89,1.18,0.3,0.99786,0.132,5
9.6,0.46,0.74,0.31,0.99746,0.126,5
10.8,0.37,0.81,0.44,0.99526,0.038,7
9.4,0.61,0.51,0.08,0.99641,0.082,5
10,0.55,0.44,0.09,0.99735,0.068,5
12.9,0.585,0.94,0,0.99264,0.044,7
12.8,0.28,0.7,0.4,0.99356,0.052,7
12.5,0.25,0.71,0.39,0.99386,0.041,7
12.8,0.28,0.7,0.4,0.99356,0.052,7
9.2,0.53,0.86,0.12,0.99702,0.165,5
10.5,0.49,0.47,0.1,0.99562,0.068,5
10.8,0.45,0.71,0.33,0.99818,0.099,5
10.8,0.45,0.71,0.33,0.99818,0.099,5
9.4,0.715,0.45,0,0.99632,0.071,5
9.6,0.66,0.54,0.15,0.99976,0.097,5
9.7,0.685,0.6,0,0.99606,0.099,5
14,0.42,0.74,0,0.99154,0.048,7
9.8,0.54,0.64,0.13,0.9973,0.076,5
9.8,0.54,0.64,0.13,0.9973,0.076,5
10.3,0.48,0.53,0.28,0.99682,0.068,5
10.7,0.46,0.49,0.14,0.99624,0.076,5
11,0.27,0.64,0.34,0.9951,0.05,7
10.7,0.46,0.49,0.14,0.99624,0.076,5
9.4,0.685,0.47,0.26,0.99694,0.088,5
9.3,0.665,0.51,0.1,0.99655,0.066,5
11.7,0.28,0.39,0.28,0.99064,0.012,7
11.7,0.28,0.39,0.28,0.99064,0.012,7
11.2,0.31,0.83,0.35,0.99672,0.075,7
10,0.5,0.47,0.04,0.99647,0.092,5
12.1,0.42,0.77,0.47,0.99736,0.085,7
10.3,0.66,0.63,0,0.99629,0.115,5
9.4,0.685,0.62,0.35,0.9963,0.088,5
9.8,0.64,0.66,0.21,0.99689,0.081,5
9.8,0.64,0.66,0.21,0.99689,0.081,5
9.8,0.64,0.66,0.21,0.99689,0.081,5
9.8,0.63,0.66,0.21,0.99689,0.08,5
9.5,0.43,0.55,0.44,0.99708,0.085,5
9.5,0.43,0.55,0.44,0.99708,0.085,5
9.7,0.42,1.07,0.32,0.99801,0.08,5
11.7,0.735,0.71,0.02,0.99538,0.071,7
11.3,0.26,0.78,0.34,0.99594,0.073,7
10.6,0.28,0.67,0.47,0.99686,0.054,7
9.5,0.62,0.54,0.06,0.99746,0.077,5
10.4,0.42,0.44,0.32,0.99628,0.067,5
9.7,0.62,0.53,0.06,0.99746,0.078,5
9.5,0.62,0.54,0.06,0.99746,0.077,5
9.7,0.635,0.54,0.07,0.99748,0.077,5
10.6,0.56,0.57,0.03,0.99522,0.086,5
11.1,0.21,0.58,0.37,0.99552,0.067,7
11.8,0.38,0.65,0.46,0.99664,0.104,7
11.8,0.31,0.79,0.4,0.99614,0.109,7
9.5,0.6,0.55,0.04,0.99745,0.076,5
9.9,0.56,0.49,0.18,0.99576,0.078,5
9.5,0.6,0.55,0.04,0.99745,0.076,5
10.5,0.75,0.64,0.14,0.99824,0.086,5
12.1,0.52,0.79,0.38,0.99577,0.066,7
9.3,0.9,0.68,0.34,1.00289,0.112,5
10.1,0.34,0.58,0.24,0.99576,0.071,5
9.7,0.66,0.57,0.03,0.99743,0.078,5
9.7,0.66,0.57,0.03,0.99743,0.078,5
12.5,0.31,0.77,0.39,0.99444,0.078,7
